x											
CN.A1a	5.504255964		CN.A1a	5.504255964	5.603206463	CN.B1a	5.569207753	5.696051787	CN.C1a	5.849145069	5.823881949
CN.A1b	5.702156963		CN.A1b	5.702156963		CN.B1b	5.822895822		CN.C1b	5.798618828	
CN.A2a	5.374851459		CN.A2a	5.374851459	5.416548592	CN.B2a	5.119850393	5.320133182	CN.C2a	5.686321605	5.605120759
CN.A2b	5.458245726		CN.A2b	5.458245726		CN.B2b	5.52041597		CN.C2b	5.523919913	
CN.A3a	4.991842629		CN.A3a	4.991842629	4.945157258	CN.B3a	5.099901546	5.063807412	CN.C3a	5.123438266	5.150400389
CN.A3b	4.898471887		CN.A3b	4.898471887		CN.B3b	5.027713279		CN.C3b	5.177362511	
CN.A4a	4.065805475		CN.A4a	4.065805475	4.466395395	CN.B4a	4.214406122	4.365303698	CN.C4a	4.349522164	4.393153175
CN.A4b	4.866985315		CN.A4b	4.866985315		CN.B4b	4.516201273		CN.C4b	4.436784186	
CN.A5a	3.544579471		CN.A5a	3.544579471	3.567156049	CN.B5a	3.839568777	3.802222514	CN.C5a	3.687912747	3.678549342
CN.A5b	3.589732628		CN.A5b	3.589732628		CN.B5b	3.764876251		CN.C5b	3.669185936	
CN.A6a	3.303425817		CN.A6a	3.303425817	3.507819359	CN.B6a	3.594948595	3.938635937	CN.C6a	4.994668579	4.396548208
CN.A6b	3.712212901		CN.A6b	3.712212901		CN.B6b	4.282323278		CN.C6b	3.798427837	
CN.B1a	5.569207753										
CN.B1b	5.822895822										
CN.B2a	5.119850393										
CN.B2b	5.52041597		1	5.7077134	0.173904856						
CN.B3a	5.099901546										
CN.B3b	5.027713279		2	5.447267511	0.190758327						
CN.B4a	4.214406122										
CN.B4b	4.516201273		3	5.053121686	0.12606371						
CN.B5a	3.839568777										
CN.B5b	3.764876251		4	4.408284089	0.082641854						
CN.B6a	3.594948595										
CN.B6b	4.282323278		5	3.682642635	0.08538788						
CN.C1a	5.849145069										
CN.C1b	5.798618828		6	3.947667834	1.051361166						
CN.C2a	5.686321605										
CN.C2b	5.523919913										
CN.C3a	5.123438266										
CN.C3b	5.177362511										
CN.C4a	4.349522164										
CN.C4b	4.436784186										
CN.C5a	3.687912747										
CN.C5b	3.669185936										
CN.C6a	4.994668579										
CN.C6b	3.798427837										
