x												
CN.A1a	0.989608608			CN.A1a	0.989608608	0.990638902	CN.B1a	0.988912611	0.990605748	CN.C1a	0.991688159	0.990869759
CN.A1b	0.991669196			CN.A1b	0.991669196		CN.B1b	0.992298885		CN.C1b	0.99005136	
CN.A2a	0.987638675			CN.A2a	0.987638675	0.988657438	CN.B2a	0.986219153	0.987725048	CN.C2a	0.991022013	0.990888478
CN.A2b	0.989676202			CN.A2b	0.989676202		CN.B2b	0.989230942		CN.C2b	0.990754942	
CN.A3a	0.976160407			CN.A3a	0.976160407	0.975049031	CN.B3a	0.984573668	0.984128806	CN.C3a	0.979029545	0.98095149
CN.A3b	0.973937656			CN.A3b	0.973937656		CN.B3b	0.983683944		CN.C3b	0.982873436	
CN.A4a	0.941960312			CN.A4a	0.941960312	0.959838876	CN.B4a	0.951273575	0.954658044	CN.C4a	0.95863134	0.959125445
CN.A4b	0.977717439			CN.A4b	0.977717439		CN.B4b	0.958042514		CN.C4b	0.959619549	
CN.A5a	0.927463282			CN.A5a	0.927463282	0.931151524	CN.B5a	0.950223768	0.943398827	CN.C5a	0.943873051	0.941030797
CN.A5b	0.934839766			CN.A5b	0.934839766		CN.B5b	0.936573887		CN.C5b	0.938188542	
CN.A6a	0.916186265			CN.A6a	0.916186265	0.932078042	CN.B6a	0.95159423	0.96315043	CN.C6a	0.980064794	0.965286502
CN.A6b	0.94796982			CN.A6b	0.94796982		CN.B6b	0.97470663		CN.C6b	0.95050821	
CN.B1a	0.988912611											
CN.B1b	0.992298885											
CN.B2a	0.986219153											
CN.B2b	0.989230942			1	0.990704803	0.000741937						
CN.B3a	0.984573668											
CN.B3b	0.983683944			2	0.989090321	0.001672007						
CN.B4a	0.951273575											
CN.B4b	0.958042514			3	0.980043109	0.002814649						
CN.B5a	0.950223768											
CN.B5b	0.936573887			4	0.957874122	0.000853856						
CN.B6a	0.95159423											
CN.B6b	0.97470663			5	0.938527049	0.008995478						
CN.C1a	0.991688159											
CN.C1b	0.99005136			6	0.953504991	0.033931758						
CN.C2a	0.991022013											
CN.C2b	0.990754942											
CN.C3a	0.979029545											
CN.C3b	0.982873436											
CN.C4a	0.95863134											
CN.C4b	0.959619549											
CN.C5a	0.943873051											
CN.C5b	0.938188542											
CN.C6a	0.980064794											
CN.C6b	0.95050821											
